,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
0,2018-09-20 12:04:08,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
1,2018-09-20 12:03:15,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR
3,2018-09-17 23:41:17,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR
4,2018-09-16 17:15:08,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR
5,2018-09-15 06:34:17,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR
6,2018-09-14 05:39:17,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
7,2018-09-13 21:35:15,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
8,2018-09-13 21:01:47,Credit Card,Other,Unknown,HBR 2 Months subscription,83.0,Expense,INR
9,2018-09-13 21:01:32,Cash,Food,Grocery,1kg atta,46.0,Expense,INR
30,2018-08-31 15:12:20,Cash,Family,Pocket money,,1000.0,Expense,INR
31,2018-08-31 15:12:20,Cash,Gift,Unknown,farewell contribution,118.0,Expense,INR
32,2018-08-31 10:01:15,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
33,2018-08-31 09:27:28,Saving Bank account 1,Salary,Unknown,From workplace ,70255.0,Income,INR
34,2018-08-31 09:26:17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
35,2018-08-30 21:10:24,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR
36,2018-08-30 21:09:51,Cash,Household,Kirana,Supermart,343.0,Expense,INR
37,2018-08-29 12:21:49,Cash,Food,Grocery,Baking soda,27.0,Expense,INR
38,2018-08-29 12:21:49,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
39,2018-08-29 12:11:41,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
40,2018-08-28 21:04:56,Saving Bank account 1,Dividend earned on Shares,Unknown,Astral Stocks,6.75,Income,INR
41,2018-08-28 19:16:09,Saving Bank account 1,Dividend earned on Shares,Unknown,Reliance Stocks,18.0,Income,INR
42,2018-08-27 21:30:16,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
43,2018-08-27 10:52:51,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR
44,2018-08-27 10:52:30,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR
45,2018-08-27 10:52:09,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
46,2018-08-26 21:04:46,Saving Bank account 1,Interest,Unknown,interest paid,30.0,Income,INR
47,2018-08-25 21:04:46,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
48,2018-08-24 22:13:43,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR
49,2018-08-24 22:12:17,Saving Bank account 1,Other,Unknown,From Family,1000.0,Income,INR
50,2018-08-24 20:20:37,Cash,Food,Rajgira ladu,,20.0,Expense,INR
51,2018-08-24 20:17:09,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
52,2018-08-24 13:34:14,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR
53,2018-08-23 21:29:52,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
54,2018-08-23 21:29:12,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
55,2018-08-23 19:55:33,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR
56,2018-08-22 22:31:36,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
58,2018-08-21 16:15:46,Cash,Food,Tea,cutting chai,12.0,Expense,INR
59,2018-08-21 16:15:20,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
61,2018-08-17 20:06:32,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR
62,2018-08-17 19:21:17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
63,2018-08-17 12:40:28,Saving Bank account 1,Dividend earned on Shares,Unknown,Pidilite Stocks,22.0,Income,INR
64,2018-08-16 19:08:01,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
65,2018-08-15 09:44:05,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR
66,2018-08-15 09:11:44,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
67,2018-08-14 10:59:46,Saving Bank account 1,Dividend earned on Shares,Unknown,ITC Stocks,124.0,Income,INR
68,2018-08-14 10:04:52,Cash,Family,Pocket money,,30.0,Expense,INR
69,2018-08-14 09:51:30,Cash,Food,snacks,Dahi,32.0,Expense,INR
70,2018-08-14 09:50:12,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR
71,2018-08-14 09:48:42,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR
72,2018-08-14 09:46:54,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR
73,2018-08-13 18:37:27,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
74,2018-08-13 18:36:01,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR
75,2018-08-13 18:35:18,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR
76,2018-08-13 18:33:36,Cash,Household,Kirana,Supermart,594.0,Expense,INR
77,2018-08-13 10:04:36,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
78,2018-08-13 10:04:23,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
101,2018-07-31 21:52:08,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
102,2018-07-31 18:01:20,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR
103,2018-07-31 13:45:08,Cash,maid,Unknown,July salary,2000.0,Expense,INR
104,2018-07-31 13:44:15,Cash,Food,chocolate,10 melody,10.0,Expense,INR
105,2018-07-31 09:05:17,Saving Bank account 1,Salary,Unknown,From workplace ,70255.0,Income,INR
106,2018-07-30 18:44:23,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR
107,2018-07-30 13:19:56,Cash,Health,Medicine,,132.0,Expense,INR
108,2018-07-30 13:19:36,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR
109,2018-07-30 11:49:11,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR
110,2018-07-29 19:29:54,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR
111,2018-07-29 15:52:47,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR
112,2018-07-29 11:39:53,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
113,2018-07-29 11:38:08,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR
114,2018-07-29 10:12:59,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR
115,2018-07-28 23:42:57,Cash,Family,Pocket money,,200.0,Expense,INR
116,2018-07-28 23:42:57,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
117,2018-07-28 21:30:49,Cash,Food,vegetables,,195.0,Expense,INR
118,2018-07-28 20:45:00,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR
119,2018-07-27 18:39:39,Saving Bank account 1,Other,Unknown,Demat account charges,826.0,Expense,INR
120,2018-07-26 23:06:09,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR
121,2018-07-26 13:44:31,Saving Bank account 1,Tax refund,Unknown,,6780.0,Income,INR
